Homograph	Reading	Type
合	り	personal name
寺	ジ	on
寺	てら	kun
自	シ	on
自	ジ	on
自	みずか	kun
自	おのずか	kun
自	よ	kun
自	おの	personal name
自	これ	personal name
自	さだ	personal name
色	シキ	on
色	ショク	on
色	いろ	kun
色	くさ	personal name
色	しな	personal name
西	サイ	on
西	セイ	on
西	スイ	on
西	にし	kun
多	タ	on
多	おお	kun
多	おおし	personal name
多	かず	personal name
多	とみ	personal name
多	な	personal name
多	なお	personal name
多	まさ	personal name
多	まさる	personal name
池	チ	on
池	いけ	kun
地	ジ	on
地	チ	on
地	つち	kun
地	ところ	kun
当	トウ	on
当	あ	kun
当	まさ	kun
当	あたる	personal name
同	ドウ	on
同	トウ	on
同	おな	kun
同	とも	kun, personal name
同	あつ	personal name
同	あつむ	personal name
同	ひとし	personal name
肉	ニク	on
肉	ジク	on
肉	しし	kun
米	ベイ	on
米	マイ	on
米	メ	on
米	こめ	kun
米	メートル	kun
米	よね	kun
毎	マイ	on
毎	バイ	on
毎	ごと	kun
毎	つね	kun
毎	むさぼ	kun
安	アン	on
安	やす	kun
安	いずく	kun
安	あ	personal name
安	さだ	personal name
安	やすし	personal name
曲	キョク	on
曲	ま	kun
曲	かね	kun
曲	くせ	kun
曲	くま	kun
曲	まが	kun
血	ケツ	on
血	ケチ	on
血	ち	kun
向	コウ	on
向	キョウ	on
向	ショウ	on
